case_name,google_case_id,judge,published,case_citation
Morris v. Silvestre,5525079527278581940,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Gardner,4041768397880769361,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"BRICKLAYERS AND ALLIED CRAFTWORKERS LOCAL 2 v. MOULTON MASONRY & CONSTRUCTION, LLC",17996999195753631925,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Mazer,13264865015704025256,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Cruz v. Walsh,6320216722775017382,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. AL HALABI,4529861980718701885,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Cheong v. Lynch,1393563280792975856,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Riddle,15104583101479706165,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
RB v. New York City Department of Education,6151513719021862005,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
GOONEWARDENA v. NORTH SHORE LONG ISLAND JEWISH HEALTH SYSTEM,5080670031756937782,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Thompson,4530689818713304626,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Jones v. City of New York,11828511713408108124,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"Long v. QUORUM HEALTH RESOURCES, LLC",18104089507093829028,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
IN RE KINGATE MANAGEMENT LIMITED LITIGATION,5361304711107270726,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Koch v. Greenberg,754990459836234746,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"CSX TRANSPORTATION, INC. v. EMJAY ENVIRONMENTAL RECYCLING, LTD.",17992330347880723864,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Ocampo v. BUILDING SERVICE 32B-J PENSION FUND,12262866837133653290,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Caban v. EMPLOYEE SECURITY FUND OF ELECTRICAL PRODUCTS INDUSTRIES PENSION PLAN,13627210877150943916,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. McKenzie,348872147842683564,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"Weinberg v. Consolidated Edison Co. of NY, Inc.",14025632294310025012,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Perez v. Arnone,5191361178979334370,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Garcia v. JANE DOES 1-40,7873544100454684971,Katzmann,1,"779 F. 3d 83 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
YUNGA v. Lynch,10749502700645183809,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Wang v. Tavernier,11177959760420579307,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
FIRST MERCURY INSURANCE COMPANY v. 613 NY INC.,2694210649928032729,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Mejia v. New York City Health and Hospitals Corporation,5129405184941119347,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
HUAN CHEN v. Lynch,2816918655915628055,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Houston,13117985617566653491,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Turner v. VILLAGE OF LAKEWOOD,2497225977901124006,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Yun v. Lynch,7714744608335280037,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Etienne v. Holder,5157873168846137717,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Speed,10762322714348746278,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
LaSONDE v. Seabrook,15869472801394173482,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
LIFFITON v. Kiszewski,16944955075065542893,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Edwards v. Arnone,7674075743561983409,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"WELLS FARGO BANK, NATIONAL ASSOCIATION v. BEDFORD CMBS ACQUISITIONS LLC.",3510559855914007881,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
BLASZCZYK v. Lynch,3894264511806581434,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. VELOZ-LOPEZ,6918376222160050066,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Roy,4913510420672919406,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"FENNELL HAMILTON v. MARK IV INDUSTRIES, INC.",4376104123822327414,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Diallo v. Lynch,16080430295218125020,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Martinez,4629967739445765150,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
DENG v. Lynch,7979757461190178735,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
OULARE v. Lynch,13270377199619792404,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
CHIRAG v. MT MARIDA MARGUERITE SCHIFFAHRTS,10416006612610763226,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Chen v. Lynch,12063133098988175441,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Crawford v. Cuomo,15903838914047376834,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Rodriguez v. City of Rochester,13073324675658146788,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Williams v. City University of New York,8340800203352138779,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"HLT EXISTING FRANCHISE HOLDING LLC v. WORCESTER HOSPITALITY GROUP, LLC",7485595850226069475,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
ENDURANCE AMERICAN SPECIALTY INSURANCE COMPANY v. CENTURY SURETY COMPANY,17280463352283575191,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Etienne v. Lynch,16311489034974693485,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
White v. Clark,10667156706653236275,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"John Wiley & Sons, Inc. v. KIRTSAENG",14822821827969558882,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Cruz,11272477504662237315,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
